idx,query,text,negative_score,neutral_score,positive_score,compound_score
39,cops,ACAB is supposed to stand for All Cops Are Bastards not All Cops Are Baptizers. ,0.222,0.778,0.0,-0.6124
40,cops,Oh no!  It's the cops!  ,0.41,0.59,0.0,-0.4184
41,cops,Three Things that keep me from enjoying Masks podcasts anymore areAgeis (and general cops)The solider playbook (and general pro system shit)Teens (and assorted children)I really wish we coulda released all of super streets which featured none of that.,0.0,0.773,0.227,0.8832
42,cops,It has come to my attn that this user: thatdaneshguy has conflated two stories that has nothing to do with the each other and have potentially put a victim from the DMV in danger. If she ends up being murder by the cops we know who to blame for discrediting her. accountability,0.211,0.789,0.0,-0.9118
43,cops,Cops are fucking GOOFIES. Like Im convinced all cops have shit for brains ,0.189,0.524,0.287,0.2212
44,cops,To cops/prisons/rich people… AND DEFINITELY NOT THE PENTAGON. ,0.0,0.671,0.329,0.5319
45,cops,All of these trained professionals fell for this?  If someone tipped them off that means at least one person involved knew they were criminals  not cops. Bet there are more. I just don't buy that all of these agents were innocent victims  not willful participants. ,0.121,0.83,0.049,-0.5574
46,cops,Man @KyrieIrving just hit TJ with something filthy. Call the Cops! UncleDrew,0.0,1.0,0.0,0.0
47,cops,Driverless car pulled over by cops  who do you give the ticket to?? Nothing happens after the first : ,0.0,1.0,0.0,0.0
48,cops,The other day my gay brother told me that some dude on a train platform in NYC hit him so hard for being that the entire side of his face was bruised. Forehead black eye cheek. The cops told him that they were too busy. Black immigrant gay. Nobody gives a shit.,0.102,0.898,0.0,-0.6669
49,cops,Friend of a friend teaches cops how to be cops at a police academy. He doesn't wear his gear when he's on admin duty. I told him he wasn't serious about his job if he answered emails without wearing his bullet-proof vest and side-arm sixteen in the clip one in the chamber,0.0,0.858,0.142,0.7665
50,cops,Real troopers wouldnt let crooked troopers get away with their crimes. @MSPTroopers should probably think about that before commenting on other peoples actions. Literally .% of you are so corrupt that the @SuffolkCountyDA  keeps your names on a list of corrupt cops,0.0,1.0,0.0,0.0
51,cops,Never realized until listening to it now between periods that the Star Wars theme song is very similar to what was produced for CHIPS in the s. How about next we have a CHIPS night to celebrate motorcycle cops?,0.083,0.831,0.085,0.0258
52,cops,It's  and cops are trying to arrest a driverless car.The car yielded to the police as intended and pulled over to the nearest safe location and put blinkers on.There was nobody to arrest tho.driverless car autonomous autonomouscar police,0.115,0.815,0.07,-0.2263
53,cops,As a reminder I adopted Millie after being rped in Texas in October and being too scared to report it to cops. I have felt more confident and safe in this world with my dog at my side. She is my everything.,0.064,0.79,0.146,0.5799
54,cops,It's just like that episode of Benefit Street when one neighbour kept complaining  was taking photographs of all the parties the other one kept having then got huckled by the cops so they phoned the DSS to grass the other neighbour up for benefit fraud.,0.1,0.699,0.201,0.6808
55,cops,Orthodox like not finding cops with radars near synagogues on Saturdays (off),0.0,0.815,0.185,0.3612
56,cops,See how cops needlessly escalate? Like she wasnt already concerned that her dog had just escaped. What was accomplished here? Cant reform this. ,0.0,0.785,0.215,0.6966
57,cops,They had college courses on The Wire and not to mention the use of real people from Baltimore cops and drug dealers ,0.0,1.0,0.0,0.0
58,cops,I've known good criminals and bad cops. Bad priests. Honorable thieves. You can be on one side of the law or the other. But if you make a deal with somebody you keep your word.,0.218,0.68,0.102,-0.5859
59,cops,There's a clear as day video of this event of the man obviously trying to hand something to the police or at least get them to stop to talk but apparently that doesn't matter. That line of riot cops were real threatened by a  year old man. Police are terrorists. ACAB ,0.273,0.665,0.062,-0.9367
60,cops,Mystery of murdered porn star found chopped is solved after cops match tatts ,0.251,0.629,0.12,-0.5106
61,cops,Stuff got said stuff got settled. No one ever called the cops.  @JaniceDean @JessieJaneDuff @bdomenech @seanmdav @Heminator @RealJamesWoods @NolteNC @KurtSchlichter @AdamBaldwin @ChrisLoesch @RichardGrenell @ggreenwald @MZHemingway @rogerkimball,0.081,0.919,0.0,-0.296
62,cops,Dueling banjoes get money (get money)But these pennies feel like they can cover manholesShoot hick cops Rambo Mujaheddin still onA simpler time busting Mexican brick into dimeFeeling like Pennywise what a time to be alive,0.0,0.803,0.197,0.765
63,cops,Buffalo cops who pushed protester Martin Gugino to ground cleared of wrongdoing  ACAB DemilitarizeThePolice DefundThePolice EndProgram EndNoKnockWarrants EndStopAndFrisk EndQualifiedImmunity EndAssetForfeiture,0.0,0.931,0.069,0.1027
64,cops,French protesting : firefighters setting themselves alight and punching copsUK protesting : switching off the lights for a little bit while the government slowly strangles us for being poor.,0.274,0.726,0.0,-0.8271
65,cops,God Minneapolis cops are so gross ,0.396,0.396,0.208,-0.4388
66,cops,Pff. You should know better than that. The cops wouldnt care whether the gvn was a toy or not. Theyd still lock you up regardless. ,0.095,0.799,0.105,0.0701
67,cops,She would have these long conversations with her dog where she would do both sides but the things she made the dog say were like...really weird and dumb. I don't know man. It was pretty fucked up. --My neighbors if the cops ever ask them about me,0.214,0.713,0.073,-0.8519
68,cops,Cops when theres no one to shoot:  ,0.479,0.521,0.0,-0.5574
69,cops,just delete twitter bro before u get the cops called on all of us  @elijahizaak,0.0,1.0,0.0,0.0
70,cops,I just saw @realjeffreyross at the Dodgers vs Rockies game. Someone call the cops his ass is missing.,0.275,0.725,0.0,-0.6908
71,cops,Here's what happens when cops pull over a driverless Cruise vehicle  metabloks,0.0,1.0,0.0,0.0
72,cops,I wish this would be bigger news. @CAgovernor why was a majority of our states Covid relief given to the already overfunded police departments? Couldve been used to help people who needed it but instead went to cops. How much of this money funded the gangs in the @LASDHQ?  ,0.0,0.878,0.122,0.6261
73,cops,“He concluded Gugino appears to have lost his balance because he was holding objects in both handshis advanced age or because he was surprised the officers used force to push him away”-This is EXACTLY why IT IS a crime not why he ruled its not. Insane  ,0.112,0.77,0.119,-0.1635
74,cops,cops literally get paid to jack each other off in the squad car ,0.0,1.0,0.0,0.0
75,cops,what the cops do while you're on hold : ,0.0,1.0,0.0,0.0
76,cops,NJ cops  I hope he was fired and charged,0.406,0.376,0.218,-0.3612
77,cops,Khamzat says hell only fight Colby if he doesnt call the cops  ,0.419,0.581,0.0,-0.802
78,cops,Btw he smashed a hole in her wall and shes reported him several times cops do nothing this is why women die. Even domestic avise is not taken seriously.Shes white and cops arent doing shit imagine a woc. ,0.096,0.833,0.072,-0.2444
79,cops,This “sudden dismissal” of the Herrerra case smells like a CYA for MASSIVE screwups by the hosp cops  DAs office  it smells like the DA got a call from Abbott and/or Paxton telling him that bringing this case “now” wasnt “politically expedient.” What was statute violated?  ,0.107,0.794,0.099,-0.1027
80,cops,Not to mention the police actually arrested those fools after they fled the scene. They didnt shoot at the cops or fight.. so they lived. Weird how that works. ,0.234,0.708,0.058,-0.7374
81,cops,She should have never been arrested.CALL A LAWYER sue the fuck outta all of them The hospitalThe copsAll of them. ,0.163,0.837,0.0,-0.5423
82,cops,Biden ordered Sergio Munoz stfu already u know damn well ull get ur ass kicked in a fight in a fist fight to Lucifer. Leave him alone and live ur own life . Ur already a disgrace to cops all over america he punked u on live tv the world chose him w his history over u .,0.292,0.673,0.034,-0.9287
83,cops,in case you were wondering if that commitment to abolition is real I am a white cis lady who was sexually assaulted in my church office and no I did not call the cops because we don't call the fucking cops,0.13,0.81,0.06,-0.4588
84,cops,drunk Florida man kicked out of library told cops he was jason bourne ,0.167,0.833,0.0,-0.34
85,cops,me and @frank__herman actually just stole our whole act from the two cops in Zodiac,0.0,1.0,0.0,0.0
86,cops,Cops are so fucking useless and we pay them an obscene amount ,0.488,0.512,0.0,-0.8211
87,cops,Are there cops at Eureka's Castle? ,0.0,1.0,0.0,0.0
88,cops,I'M CALLING THE COPS,0.0,1.0,0.0,0.0
89,cops,HOW CAN ANY GOPCALL THE COPSÒWN ANYONETHEY BREAK THELAW EVERYDAYWITH THERE MOUTHJAN TH WILL POLICETHE GOP PARTYCLEAN IT UPI CANTWAIT TOO SEE THIS,0.0,1.0,0.0,0.0
90,cops,“Heres what happens when cops pull over a driverless Cruise vehicle”Theres a glaring omission in this article. How did they pull the car over? ,0.0,1.0,0.0,0.0
91,cops,why tf are there so many cops out today,0.0,1.0,0.0,0.0
92,cops,Ive been shot at. Multiple times and in multiple situations. Drive bys when I was at a party. Ive had shotguns held to my head by cops. Ive watched a friend get robbed at gun point. The terror you feel in those moments when seeing deranged and unhinged ppl with guns.,0.104,0.79,0.106,0.0258
93,cops,They fit three cops in that cruiser?! ,0.0,0.682,0.318,0.4199
94,cops,Cops are a social cancer. ,0.595,0.405,0.0,-0.6597
95,cops,Gotta say  years ago if I walked into a store wearing my Bullet Club mask I'd probably had the cops called on me  ,0.0,1.0,0.0,0.0
96,cops,If you havent committed a serious crime then why run from them and then fight them. When we make it illegal for cops to chase and disable people they are trying to arrest then all will run and fight. Yay! More criminals on the street! Sarcasm intended! ,0.313,0.569,0.118,-0.9064
97,cops,Good morning to everyone except the cops who killed PatrickLyoya. BlackLivesMatter,0.274,0.549,0.177,-0.3818
98,cops,He admits he knew we stopped that fight but he still allowed the situation to escalate and let the arrests happen!!The discovery was  pages long!!!! cops perjure themselves over n over no mention of the gun being dropped but u can hear me scream it in st videodisgraceful ,0.304,0.669,0.027,-0.9443
99,cops,I want to see a spin-off of BojackHorseman  Mr. Peanutbutter in Cops and Mustards. ,0.0,0.894,0.106,0.0772
100,cops,a shame it's full of evil cops prosecutors and judges ,0.517,0.483,0.0,-0.8176
101,cops,Muslim mob giving anger reply by Stone Pelting on cops DelhiRiots ,0.245,0.596,0.159,-0.3182
102,cops,Brandishing sword in front of the cops is secular but sporting tilak on the forehead is communal,0.0,1.0,0.0,0.0
103,cops,Cops: Arizona man stuffed  animals in freezer some alive ,0.0,0.755,0.245,0.3818
104,cops,The yatras we Hindus take out - we already gather in the thousands. Why don't we equip ourselves and be prepared? The moment we stop depending on the cops is the moment from which we will be feared.,0.131,0.823,0.046,-0.5423
105,cops,Glad to see new better solutions being discussed for street safety. We dont need cops spending time on expired tags if violent crime is rising. Hope our leaders like @willjawando @hansriemer @tomhucker @EvanMGlass will lead the County on this ,0.137,0.572,0.292,0.7506
106,cops,This guy mag dumped into his friend and then walked up and said “are you okay?”Lmfao cops are brilliant ,0.105,0.623,0.272,0.6486
107,cops,Breaking in bigTerrrists attack in DelhiSleeping cells activated with swords in hand and attack on police and security also times nam@zi terrrists in the name of all@h attacked people  cops of India with stones!!,0.22,0.653,0.126,-0.6351
108,cops,Why does Google police queer people of color by facilitating cops,0.0,1.0,0.0,0.0
109,cops,Police refute claims that infant died due to cops stopping traffic inKalyandurg ,0.342,0.658,0.0,-0.6369
110,cops,Two robbed of Rs  lakhs in Bathinda by men posing as cops ,0.0,1.0,0.0,0.0
111,cops,This is sh cuz it shows the defects of the white man breeding labs in slav Boxed hairline showing they are tamed animals and shAnd small nigR ears that can't hear cops alerts or receive a new language ,0.07,0.93,0.0,-0.4019
112,cops,The re-publicans/confederates/conservatives are for: anti-abortion executions oligarchs every corporation minimum wage (or less) white-only America cops who kill corruptible judges etc. etc.,0.183,0.817,0.0,-0.6908
113,cops,Is this the training y'all keep referring to when saying only cops should be carrying? Cuz this is a shitshow. Shot one of his own officers mag dumped on him just because he saw a firearm ,0.076,0.924,0.0,-0.4019
114,cops,This area is full of Rohingyas  a hotbed of crime. Wonder when majority popn  our leaders will realise that these ms r serious abt their murderous agenda  our cops need to be given rights to shoot stone pelters. ,0.263,0.737,0.0,-0.886
115,cops,Cops was waiting  right time to do full jail insurance scams he been arranging,0.226,0.774,0.0,-0.5859
116,cops,So the cops chase this guy all over town he hits someone they die and they charge him with murder.  Like they dont have cameras and helicopters…why play fast and the furious all over town? I never get this…,0.245,0.657,0.098,-0.8555
117,cops,Police stops of Black people often filled with fear anxiety  They are  worried the cops will find the guns..,0.367,0.633,0.0,-0.7717
118,cops,I Called The Cops Last Night So Dont Worry  ,0.0,0.723,0.277,0.3988
119,cops,I condone this the cops don't know how to police their own. ,0.0,1.0,0.0,0.0
120,cops,This shows a big problem with cops because he mag dumped just seeing a gun. Was it on his lap holster floor? It doesn't matter unless he was reaching or pointing it at the cop that shouldn't have happened. They're too trigger happy! ,0.185,0.705,0.111,-0.3952
121,cops,Ludhiana Police cops are conducting regular vigilant checks regarding the movement of vehicles on all the entry points for the security of the city.PPNightSurveillancePPInterstateNakabandiPPNakabandi ,0.0,0.843,0.157,0.4767
122,cops,New Jersey Tells Its Cops: You Can Also Blaze Up—but Only After Work  via @thedailybeast,0.0,1.0,0.0,0.0
123,cops,Much as Harris  Mauser are pricks I think Id hate Mahoney. Public spirit  healthy disdain for authority aside the guys basically a sexual predator subjecting people to nasty physical attacks including cavity searches. PA  should be those two suing the shit out of the cops. ,0.288,0.55,0.162,-0.8225
124,cops,A look at @RickCarusoLA and his time on the LA Police Commission. He helped get rid of Police Chief @BernardCParks and supported tax and fee increases for more cops.  ,0.0,0.922,0.078,0.3182
125,cops, cops in NYC what do they do attack homeless encampments for wealthy privileged white folk. This is a misuse of taxpayer funds. Destruction of property? These people have nothing and yet you want to destroy the little they have? Textbook evil.  billion dollars worth,0.257,0.597,0.147,-0.8577
126,cops,Till the walls turn green and cops are banging on the door ,0.0,1.0,0.0,0.0
127,cops,the cops were there i tried to hide in the pool. bestie stopped me ,0.247,0.753,0.0,-0.3818
128,cops,Killer cops should get the death penalty ,0.737,0.263,0.0,-0.9042
129,cops,By far and away!! that's why my dealer ever need to escape the fuckin cops- he can hit me up/ drop on in  couch with zero questions! Cop better keep his ass out my door unless there's a DAMN good warrant-  imma read that shit SO SLOW! ,0.229,0.647,0.124,-0.8075
130,cops,hope these cops are getting cheated on fr ,0.27,0.492,0.238,-0.1027
131,cops,Dear HindusIn last  months you have seen everythingRajasthan- your hindu brothers were kicked by radical slamic terrristsMaharashtra- iftar in temple of Pune  no Hanuman Chalisa allowed in loudspeaker  arrest madeDelhi- sword injured cops  slamic terrrism!,0.184,0.753,0.063,-0.6114
132,cops,It should stop when Cops are held accountable.I'm not holding my breath. ,0.167,0.833,0.0,-0.296
133,cops,I wonder how that girl who was screaming the n-slur from :ish am to :ish am is doing. I'm pretty sure the cops tased her cuz she was screaming and it wasn't even the I'm racist and drunk screaming from her earlier in the night.,0.25,0.653,0.097,-0.8271
134,cops,Cops disable UP mosques loudspeakers after BJP workers threaten to perform havan in front of it ,0.148,0.852,0.0,-0.3818
135,cops,A black man gets shot for existing but the cops will let their friends--er Nazis harass whoever they want. @LHSLASD ,0.189,0.747,0.064,-0.5927
136,cops,Binge watching @PakistaniReacts zindagi Gulazar hai and humsafar on YouTube.Waiting for the cops to knock on my door. Wait they dont have balls to knock on my door.,0.0,1.0,0.0,0.0
137,cops,SF's districts with the highest median household incomes are D and D. I am not surprised that elected officials there favor more police. When affluent people are devoted their own supervisors affluent ideas are debated at City Hall.,0.042,0.824,0.135,0.5767
138,cops,I remember when I came home from college and tried to find a hobby outside of my parents house. I bought an RC plane took it to a park… a woman called the cops on me because it caught kids attention. People are insane.  ,0.068,0.932,0.0,-0.4019
139,cops,Peaceful dora hua Musalman pelted stones at a Honuman jayanti procession in Delhi. Delhi cops being bossed by Kejriwal are fully compromised they need a strong all muscled pro-Hindu boss like Amit Shah,0.0,0.757,0.243,0.8402
140,cops,Cops r mad today huh,0.516,0.484,0.0,-0.4939
141,cops,That Is Why Guy Cops Here Giggle When They Frisk Me Cause They Know That I Am Not Gay And That Is Why I Gotta Warn Them If It Tickles Too Much So Anyhow You Can't Touch The ChaseMaestre No One Can That's Expensive Fuck B'ys Where Is The Lead? That Is Cheap.,0.125,0.826,0.049,-0.5106
142,cops,I don't think so Daniel will probably be the MC of 'Street Man fighter' and 'Street Woman Fighter season ' plus his music solo career and probably another drama after 'Rookie cops'.I don't think he will have enough time to be mentor or judge of that show ,0.0,0.931,0.069,0.296
143,cops,Please can you help Jay age  with sports memorabilia to auction for @UK_COPS supporting families of fallen police officer and in memory of his hero @CCLeicsPolice.  Please can you help? @chrishoy @BritishCycling @JasonKenny @LauraKenny @SirWiggo Thank you ,0.05,0.574,0.376,0.9382
144,cops,We are to worried about the reaction of everyone else lowkey especially the cops. ‍ ,0.145,0.855,0.0,-0.296
145,cops,Watching 'old enough' thinking back to how many neighbors would've called the cops on me if  year old me walked down the street alone to go to the /,0.069,0.931,0.0,-0.25
146,cops,Got detained by the cops last night lol shit was low-key fun,0.309,0.392,0.299,-0.0516
147,cops,JahangirpuriClashesShops closed...police deployed...cops appeal to maintain peace...: Kundan reports from ground zero.Take a look at this ground report. ,0.0,1.0,0.0,0.0
148,cops,ALIVE PAYING ATTENTION TO THE WHY OTHER JUST A BODY SHOOK HANDS COPS STAY MAYBE NOT TOO LATE ONE GUST DRAGGING FUCKER BEGGING,0.209,0.696,0.095,-0.4767
149,cops,a man from unit  (out of ) in my apartment building just died — within minutes paramedics were in and out without a body leaving the scene — meanwhile theres a woman who was in the unit thats screaming cursing and hitting (cars  cops) to get back in,0.134,0.866,0.0,-0.7351
150,cops,Cops PAY ME GOOD  HELPING THEM LURE PREDATOR WAT WIN HOTEL MY DADS  HOTEL,0.092,0.43,0.478,0.874
151,cops,i love you x i'm calling the cops.,0.0,0.543,0.457,0.6369
152,cops,JahangirpuriViolence: Home Minister @AmitShah directs cops to take necessary action ,0.0,1.0,0.0,0.0
153,cops,I hate cops man,0.649,0.351,0.0,-0.5719
154,cops,I'm still getting reports that Alyssa @Liquid_Wolves is trying to find where I live and come to the house in person she's psychoticShe lives many states away and has threatened me. I will call the cops or self defend if she shows up. I am working on a restraining order for her,0.06,0.94,0.0,-0.4588
155,cops,why do cops still ride around on horses,0.0,1.0,0.0,0.0
156,cops,Scared Scots call Police Scotland with cops called out to 'UFOs' or 'lights in the sky',0.162,0.838,0.0,-0.4404
157,cops,OnlyFans Model Seen Drenched In Blood While Being Questioned By Cops After Fatal Stabbing Of BF  SmartNews,0.246,0.754,0.0,-0.5994
158,cops,Over  injured  arrested as Palestinians clash with cops on Al Aqsa Mosque.  ,0.367,0.633,0.0,-0.7003
159,cops,nobody:me stepping on my own grass: “oh thats where i was pinned to the ground by  grown ass cops while in handcuffs”,0.149,0.851,0.0,-0.5423
160,cops,Cops are lame. I hate every single one. I even befriended mfs for becoming a cop. ,0.371,0.629,0.0,-0.7579
161,cops,The new Spectrum Sleepout rules - one random participant will be beaten by cops and locked in a psychiatric unit halfway through the night,0.118,0.882,0.0,-0.4215
162,cops,cops work for the rich,0.0,0.526,0.474,0.5574
163,cops,White cops and white teachers are the same to me,0.0,1.0,0.0,0.0
164,cops,Heads up cops are pulling people over again ,0.0,1.0,0.0,0.0
165,cops,Cops: “Whens the last time youve had marijuana in the vehicle”Me: “Oh its been about a couple months now”,0.0,1.0,0.0,0.0
166,cops,Cops across the country need better training ,0.0,0.674,0.326,0.4404
167,cops,Local cops arent exactly known for being smart why are y'all so pressed ,0.0,0.816,0.184,0.4019
168,cops,Spoiled Girlfriend calls the cops on White Co-Worker what happens next will shock you | Dhar Mann,0.148,0.852,0.0,-0.3818
169,cops,DD's mayoral campaign is the most hamfisted I've ever seen. I cannot help but feel sorry for her even though I am against. The latest example is defending Measure B by saying it passed with % of the vote. The effect is we have no cops. And no one remembers what Measure B is!,0.166,0.834,0.0,-0.7888
170,cops,Rookie Cops,0.0,1.0,0.0,0.0
171,cops,Police refute claims that infant died due to cops stopping traffic in Kalyandurg- The New IndianExpress ,0.271,0.729,0.0,-0.6369
172,cops,Does Being Robbed Bother Me? Sometimes But Then At Other Times It's Like... Did Somebody Just Grab My Ass?? Cause Fuck Everyone Want To Grab My Ass And It Tickles To Much To Say No I Have To Warn Cops That I Will Get Serotonin Release If They Even Touch Me Like That Friskylol,0.3,0.632,0.068,-0.9531
173,cops,'Defund the Police' Fever Leaves Seattle Without Cops to Investigate Sexual Assaults ,0.241,0.759,0.0,-0.5423
174,cops,Smh… I dont understand why cops dont understand how nervous they make motherfuckers. ,0.0,0.858,0.142,0.2057
175,cops, cop shot atmultiple cops injured. This is a well planned attack : BJP statement.,0.343,0.533,0.124,-0.5719
176,cops,If you ever want to hate cops more than you already do look up “The Kissing Case” from Monroe NC,0.144,0.661,0.195,0.0772
177,cops,They really fucked up Dewey through out whole series but granted the cops werent shit when he wasnt on it anymore,0.105,0.661,0.234,0.5483
178,cops,Its not very often holy days for the  Abrahamic religions coincide but fuck this guy for doing it this weekend. And next weekend when its not a conjoined holiday Fuck him bc hell keep doing this to people. Cops know only how to put boots on and stomp people. ,0.227,0.712,0.061,-0.9055
179,cops,See how we spent our easter weekend in jail in our immature movie available now on VimeoOnDemand! Let's just say a prank involving a sex toy went too far and the cops may have been called...Enjoy your Easter weekend laughing at usit's worth every penny..thatfatkidmovie ,0.0,0.884,0.116,0.6588
180,cops,these men are SAYING THEY ARE AFRAIDOF MEeverything about community targeting IS FIXEDIT IS UNDERSTOOD BY THE COPS AND CONTRACTORS THAT THE PROCESS IS A ONE WAY ONEALL ATTEMPTS HAVE TO BE MADE TOSUPPRESS THE VOICE OF THE TARGETA CONSPIRACY! ,0.104,0.896,0.0,-0.6625
181,cops,Teen was forced into closet and sprayed with cleaner GA cops say. Classmates charged  via @Yahoo,0.246,0.667,0.087,-0.4767
182,cops,Walmart finally called the cops on me for shoplifting; Truth or Consequences New Mexico  via @FacebookWatch,0.0,0.867,0.133,0.3182
183,cops,CRIME SCENE: Cops bust man in violent carjacking attempt ,0.537,0.463,0.0,-0.8455
184,cops,Clashes in Delhi during HanumanJayanti procession; Home Minister AmitShah speaks to top police officials ,0.0,0.878,0.122,0.2023
185,cops,Im calling the cops ,0.0,1.0,0.0,0.0
186,cops,+ COPS Despite Frank James being less than  minutes away from the  PCT they did not catch him the next day?,0.0,1.0,0.0,0.0
187,cops,EXCLUSIVE: TikTok star targeted in horrific acid attack claims she had a 'bounty' on her head after she 'dropped a name' in a podcast - as cops probe links to notorious crime family  ,0.346,0.598,0.056,-0.913
188,cops,JahangirpuriClashes erupt in Delhis Jahangirpuri area after Islamists hurl stones at a Hanuman Jayanti procession.Swords wieldedcops injuredheavy security deployed.A candlelight march in honour of Uri terrorist attack martyrs had also ledto mob fury inthe same area back,0.237,0.638,0.126,-0.7506
189,cops,~-p NoiseAssaultxTargetrevvingXtrm-XtraXtrm HarleysTarget dntnW/harmful-Excessive xhaust fumes-Xtrm LoFreqFull contingency ofBaroody's dntn QRT PoliceAbusivePseudo-CopsThe Youngkin effectFredericksburgVA Fxbg RealEstate,0.0,1.0,0.0,0.0
190,cops,Dawg screaming at Az cops lmao You tryna die ,0.396,0.366,0.238,-0.3818
191,cops,I like cops who don't get shot.  Is that how its done GOP? ,0.0,0.815,0.185,0.3612
